target_family,predicted_family,target_family_name,predicted_family_name,target_primitive,predicted_primitive,target_primitive_id,predicted_primitive_id,target_duration,predicted_duration,target_dynamics,predicted_dynamics
3,3,transition,transition,9,9,primitive_009,primitive_009,7,0,3,5
3,3,transition,transition,26,26,primitive_026,primitive_026,7,7,1,2
3,3,transition,transition,26,26,primitive_026,primitive_026,6,7,1,1
3,3,transition,transition,26,26,primitive_026,primitive_026,5,7,2,1
3,3,transition,transition,26,26,primitive_026,primitive_026,5,7,3,2
3,3,transition,transition,26,26,primitive_026,primitive_026,7,7,2,3
3,3,transition,transition,26,26,primitive_026,primitive_026,4,7,1,2
3,3,transition,transition,26,26,primitive_026,primitive_026,4,7,2,1
3,3,transition,transition,26,26,primitive_026,primitive_026,7,4,2,2
3,3,transition,transition,26,26,primitive_026,primitive_026,3,7,1,1
3,3,transition,transition,26,26,primitive_026,primitive_026,4,7,1,1
3,3,transition,transition,26,26,primitive_026,primitive_026,7,3,2,1
3,3,transition,transition,26,26,primitive_026,primitive_026,4,7,3,1
3,3,transition,transition,26,26,primitive_026,primitive_026,4,7,4,2
3,3,transition,transition,26,26,primitive_026,primitive_026,7,4,2,4
3,3,transition,transition,26,26,primitive_026,primitive_026,7,4,2,2
3,3,transition,transition,26,26,primitive_026,primitive_026,6,3,1,2
3,3,transition,transition,26,26,primitive_026,primitive_026,5,7,2,1
3,3,transition,transition,26,26,primitive_026,primitive_026,5,4,2,2
3,3,transition,transition,26,26,primitive_026,primitive_026,7,3,1,2
3,3,transition,transition,26,26,primitive_026,primitive_026,4,7,0,1
3,3,transition,transition,26,26,primitive_026,primitive_026,4,7,0,0
3,3,transition,transition,26,26,primitive_026,primitive_026,7,4,2,0
3,3,transition,transition,26,26,primitive_026,primitive_026,3,7,2,1
3,1,transition,chordal,26,1,primitive_026,primitive_001,4,7,2,1
3,3,transition,transition,26,26,primitive_026,primitive_026,7,4,2,2
3,3,transition,transition,26,26,primitive_026,primitive_026,4,7,2,1
3,3,transition,transition,26,26,primitive_026,primitive_026,4,7,1,1
3,3,transition,transition,26,26,primitive_026,primitive_026,7,4,3,1
3,3,transition,transition,26,26,primitive_026,primitive_026,7,4,3,3
3,3,transition,transition,26,26,primitive_026,primitive_026,6,4,4,3
3,3,transition,transition,26,26,primitive_026,primitive_026,5,4,4,4
3,3,transition,transition,26,26,primitive_026,primitive_026,5,3,4,4
3,3,transition,transition,26,26,primitive_026,primitive_026,7,3,4,4
3,3,transition,transition,26,26,primitive_026,primitive_026,4,7,3,4
3,3,transition,transition,26,26,primitive_026,primitive_026,4,7,3,3
3,3,transition,transition,11,26,primitive_011,primitive_026,7,4,3,3
3,3,transition,transition,26,26,primitive_026,primitive_026,4,7,3,3
3,3,transition,transition,26,26,primitive_026,primitive_026,4,7,1,2
3,3,transition,transition,26,26,primitive_026,primitive_026,7,4,2,1
3,3,transition,transition,26,26,primitive_026,primitive_026,7,7,3,1
3,3,transition,transition,26,26,primitive_026,primitive_026,4,7,3,2
3,3,transition,transition,26,26,primitive_026,primitive_026,7,3,1,3
3,3,transition,transition,26,26,primitive_026,primitive_026,7,7,1,1
3,3,transition,transition,26,26,primitive_026,primitive_026,4,7,0,1
3,3,transition,transition,26,26,primitive_026,primitive_026,7,4,2,0
3,3,transition,transition,26,26,primitive_026,primitive_026,7,7,2,1
3,3,transition,transition,26,26,primitive_026,primitive_026,4,7,0,2
3,3,transition,transition,26,26,primitive_026,primitive_026,7,4,2,0
3,3,transition,transition,26,26,primitive_026,primitive_026,7,7,3,1
3,3,transition,transition,26,26,primitive_026,primitive_026,3,7,3,3
3,3,transition,transition,26,26,primitive_026,primitive_026,6,4,2,3
3,3,transition,transition,26,26,primitive_026,primitive_026,7,4,3,2
3,3,transition,transition,26,26,primitive_026,primitive_026,7,4,1,3
3,3,transition,transition,26,26,primitive_026,primitive_026,6,4,2,1
3,3,transition,transition,26,26,primitive_026,primitive_026,5,4,2,2
3,3,transition,transition,26,26,primitive_026,primitive_026,5,4,2,2
3,3,transition,transition,26,26,primitive_026,primitive_026,7,3,3,2
3,3,transition,transition,26,26,primitive_026,primitive_026,4,7,1,2
3,3,transition,transition,26,26,primitive_026,primitive_026,4,7,2,1
3,3,transition,transition,26,26,primitive_026,primitive_026,6,4,2,2
3,3,transition,transition,26,26,primitive_026,primitive_026,1,7,1,2
3,3,transition,transition,26,26,primitive_026,primitive_026,0,7,1,1
3,3,transition,transition,9,9,primitive_009,primitive_009,7,0,4,5
3,3,transition,transition,26,26,primitive_026,primitive_026,7,7,2,3
3,3,transition,transition,26,26,primitive_026,primitive_026,6,3,2,2
3,3,transition,transition,26,26,primitive_026,primitive_026,5,7,2,2
3,3,transition,transition,26,26,primitive_026,primitive_026,5,7,3,2
3,3,transition,transition,26,26,primitive_026,primitive_026,7,7,2,3
3,3,transition,transition,26,26,primitive_026,primitive_026,4,7,1,2
3,3,transition,transition,26,26,primitive_026,primitive_026,4,7,2,1
3,3,transition,transition,26,26,primitive_026,primitive_026,7,4,2,2
3,3,transition,transition,26,26,primitive_026,primitive_026,3,7,1,1
3,3,transition,transition,26,26,primitive_026,primitive_026,4,7,1,1
3,3,transition,transition,26,26,primitive_026,primitive_026,7,3,2,1
3,3,transition,transition,26,26,primitive_026,primitive_026,4,7,2,1
3,3,transition,transition,26,26,primitive_026,primitive_026,4,7,3,2
3,3,transition,transition,26,26,primitive_026,primitive_026,7,4,2,3
3,3,transition,transition,26,26,primitive_026,primitive_026,7,4,2,2
3,3,transition,transition,26,26,primitive_026,primitive_026,6,3,1,2
3,3,transition,transition,26,26,primitive_026,primitive_026,5,7,2,1
3,3,transition,transition,26,26,primitive_026,primitive_026,5,4,2,2
3,3,transition,transition,26,26,primitive_026,primitive_026,7,3,2,2
3,3,transition,transition,26,26,primitive_026,primitive_026,4,7,1,2
3,3,transition,transition,26,26,primitive_026,primitive_026,4,7,1,1
3,3,transition,transition,26,26,primitive_026,primitive_026,7,4,2,1
3,3,transition,transition,26,26,primitive_026,primitive_026,3,7,2,1
3,1,transition,chordal,26,1,primitive_026,primitive_001,4,7,2,1
3,3,transition,transition,26,26,primitive_026,primitive_026,7,4,2,2
3,3,transition,transition,26,26,primitive_026,primitive_026,4,7,2,2
3,3,transition,transition,26,26,primitive_026,primitive_026,4,7,1,1
3,3,transition,transition,26,26,primitive_026,primitive_026,7,4,3,1
3,3,transition,transition,26,26,primitive_026,primitive_026,7,4,3,3
3,3,transition,transition,26,26,primitive_026,primitive_026,6,4,4,3
3,3,transition,transition,26,26,primitive_026,primitive_026,5,4,4,4
3,3,transition,transition,26,26,primitive_026,primitive_026,5,3,4,4
3,3,transition,transition,26,26,primitive_026,primitive_026,7,3,4,4
3,3,transition,transition,26,26,primitive_026,primitive_026,4,7,3,4
3,3,transition,transition,26,26,primitive_026,primitive_026,4,7,3,3
3,3,transition,transition,11,26,primitive_011,primitive_026,7,4,3,3
3,3,transition,transition,26,26,primitive_026,primitive_026,4,7,2,3
3,3,transition,transition,26,26,primitive_026,primitive_026,4,7,1,1
3,3,transition,transition,26,26,primitive_026,primitive_026,7,4,3,1
